Upbringing,Age,Criminal History,Occupation,Children,Health Issues,Race,Political Affiliation,answer,slider,responseid,question_index,condition_service_question,condition_slider
Grew up poor,40,Prior history of violent crime,artist,No kids,Diabetic,Asian,None specified,0,,R_2Eubq3xO8wgvciL,1,6,1
Grew up upper class,20,None,unemployed,Two kids,Diabetic,White,Democrat,1,,R_2Eubq3xO8wgvciL,1,6,1
Grew up poor,20,None,nurse,No kids,Mental health issues,Asian,None specified,0,,R_1OrkcK8RJPKE1OM,1,3,1
Grew up middle class,70,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,Hispanic,None specified,1,,R_1OrkcK8RJPKE1OM,1,3,1
Grew up upper class,20,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Hispanic,None specified,1,,R_O2J6OjuZc493Cmd,1,13,1
Grew up upper class,20,Prior history of violent crime,doctor,Two kids,Mental health issues,Asian,Republican,0,,R_O2J6OjuZc493Cmd,1,13,1
Grew up poor,70,Prior history of violent crime,firefighter,Two kids,Generally Healthy,Asian,Democrat,0,,R_1mDUsteACzh52t0,1,14,1
Grew up middle class,40,Prior history of non-violent crime,scientist,Two kids,Physically disabled,Hispanic,Democrat,1,,R_1mDUsteACzh52t0,1,14,1
Grew up middle class,40,None,janitor,No kids,Physically disabled,Asian,Republican,1,6,R_0TlJKhdA5c1UsF3,1,8,2
Grew up upper class,70,Prior history of violent crime,nurse,No kids,Mental health issues,Hispanic,Republican,0,6,R_0TlJKhdA5c1UsF3,1,8,2
Grew up poor,70,Prior history of violent crime,artist,Two kids,Diabetic,Hispanic,None specified,1,6,R_ZaV9fhCTBQM47WF,1,14,2
Grew up middle class,70,Prior history of violent crime,doctor,Two kids,Mental health issues,Hispanic,None specified,0,6,R_ZaV9fhCTBQM47WF,1,14,2
Grew up middle class,70,Prior history of violent crime,nurse,No kids,Physically disabled,White,Democrat,0,,R_3j7iwFBcnQqSscX,1,14,1
Grew up upper class,20,None,nurse,Two kids,Diabetic,Asian,None specified,1,,R_3j7iwFBcnQqSscX,1,14,1
Grew up poor,20,Prior history of non-violent crime,Instacart shopper,Two kids,Physically disabled,Asian,Democrat,1,5,R_XLAt9xmEvJyaXU5,1,9,2
Grew up poor,40,None,artist,No kids,Generally Healthy,Asian,Democrat,0,5,R_XLAt9xmEvJyaXU5,1,9,2
Grew up poor,40,Prior history of non-violent crime,janitor,No kids,Mental health issues,Asian,None specified,0,6,R_1F38RTja1gFRNxY,1,7,2
Grew up poor,20,Prior history of non-violent crime,scientist,Two kids,Diabetic,Hispanic,Republican,1,6,R_1F38RTja1gFRNxY,1,7,2
Grew up middle class,20,Prior history of violent crime,doctor,No kids,Physically disabled,Asian,Republican,1,,R_1r0VzzKsuNhKVdc,1,8,1
Grew up upper class,20,None,scientist,No kids,Mental health issues,Asian,Republican,0,,R_1r0VzzKsuNhKVdc,1,8,1
Grew up upper class,70,Prior history of violent crime,nurse,No kids,Diabetic,White,Democrat,1,,R_3fxHT3EvI8xzq4c,1,16,1
Grew up poor,20,None,banker,No kids,Mental health issues,White,Republican,0,,R_3fxHT3EvI8xzq4c,1,16,1
Grew up upper class,70,Prior history of violent crime,doctor,Two kids,Generally Healthy,White,Democrat,0,,R_xmSAJYT2hOUwgI9,1,13,1
Grew up poor,20,None,scientist,Two kids,Mental health issues,Asian,None specified,1,,R_xmSAJYT2hOUwgI9,1,13,1
Grew up poor,70,Prior history of non-violent crime,unemployed,Two kids,Physically disabled,Asian,Republican,0,,R_5tJoXgWecggBH3P,1,8,1
Grew up poor,20,Prior history of violent crime,Instacart shopper,Two kids,Mental health issues,Black,Democrat,1,,R_5tJoXgWecggBH3P,1,8,1
Grew up poor,40,Prior history of violent crime,unemployed,Two kids,Physically disabled,Hispanic,Republican,0,2,R_2U5G85F3bB0tnpt,1,15,2
Grew up poor,40,Prior history of non-violent crime,janitor,No kids,Generally Healthy,White,None specified,1,2,R_2U5G85F3bB0tnpt,1,15,2
Grew up poor,70,Prior history of violent crime,janitor,No kids,Diabetic,White,Republican,0,,R_3esorNLVp8QmKvg,1,2,1
Grew up poor,70,Prior history of non-violent crime,banker,No kids,Generally Healthy,Black,Republican,1,,R_3esorNLVp8QmKvg,1,2,1
Grew up upper class,20,Prior history of violent crime,nurse,No kids,Physically disabled,Asian,Democrat,0,6,R_3G0v0piYYfDHEpf,1,2,2
Grew up upper class,20,None,unemployed,No kids,Generally Healthy,White,None specified,1,6,R_3G0v0piYYfDHEpf,1,2,2
Grew up upper class,20,Prior history of non-violent crime,banker,No kids,Mental health issues,White,None specified,0,6,R_1hR2lIgibbDdteo,1,14,2
Grew up middle class,40,None,janitor,No kids,Diabetic,Black,Republican,1,6,R_1hR2lIgibbDdteo,1,14,2
Grew up upper class,70,None,firefighter,No kids,Physically disabled,White,Republican,1,2,R_3m8HKSVIIilQUvz,1,4,2
Grew up middle class,70,None,nurse,No kids,Diabetic,Hispanic,None specified,0,2,R_3m8HKSVIIilQUvz,1,4,2
Grew up upper class,20,Prior history of violent crime,artist,No kids,Mental health issues,Asian,None specified,0,,R_1Q6oO14eKJQ7TbQ,1,11,1
Grew up middle class,20,Prior history of violent crime,banker,No kids,Generally Healthy,White,None specified,1,,R_1Q6oO14eKJQ7TbQ,1,11,1
Grew up middle class,70,None,nurse,No kids,Diabetic,Asian,Republican,0,,R_1i3RQYYvlLBgzWV,1,2,1
Grew up upper class,20,None,doctor,Two kids,Physically disabled,Black,Republican,1,,R_1i3RQYYvlLBgzWV,1,2,1
Grew up poor,70,Prior history of violent crime,artist,Two kids,Generally Healthy,White,Democrat,0,,R_1eV5c8Kp8pveIo9,1,14,1
Grew up middle class,70,None,Instacart shopper,Two kids,Physically disabled,White,Republican,1,,R_1eV5c8Kp8pveIo9,1,14,1
Grew up middle class,20,Prior history of non-violent crime,janitor,No kids,Mental health issues,Hispanic,None specified,0,,R_1kM59EMWnSe9WBI,1,13,1
Grew up middle class,20,Prior history of non-violent crime,unemployed,No kids,Mental health issues,Black,Democrat,1,,R_1kM59EMWnSe9WBI,1,13,1
Grew up upper class,40,None,janitor,Two kids,Generally Healthy,Hispanic,Republican,0,,R_2YVdnnLZk2MW5y3,1,4,1
Grew up upper class,70,Prior history of non-violent crime,nurse,Two kids,Mental health issues,Asian,None specified,1,,R_2YVdnnLZk2MW5y3,1,4,1
Grew up upper class,70,Prior history of violent crime,janitor,No kids,Generally Healthy,White,Republican,0,,R_25GFMjt0HQ6NajY,1,13,1
Grew up middle class,40,None,nurse,No kids,Physically disabled,Hispanic,Democrat,1,,R_25GFMjt0HQ6NajY,1,13,1
Grew up upper class,20,Prior history of non-violent crime,firefighter,Two kids,Diabetic,White,None specified,0,,R_2BwIpGvJ4Bm19iA,1,11,1
Grew up poor,70,None,scientist,No kids,Physically disabled,Asian,Democrat,1,,R_2BwIpGvJ4Bm19iA,1,11,1
Grew up upper class,70,Prior history of non-violent crime,unemployed,Two kids,Diabetic,Hispanic,Democrat,0,,R_2wgHyCX0MvV0dQe,1,15,1
Grew up upper class,40,Prior history of violent crime,firefighter,Two kids,Physically disabled,Black,Republican,1,,R_2wgHyCX0MvV0dQe,1,15,1
Grew up upper class,20,Prior history of violent crime,janitor,Two kids,Mental health issues,White,Republican,1,5,R_RELZ1fM3mTpk5X3,1,6,2
Grew up poor,20,Prior history of violent crime,doctor,Two kids,Diabetic,Asian,Republican,0,5,R_RELZ1fM3mTpk5X3,1,6,2
Grew up middle class,20,None,scientist,No kids,Generally Healthy,Asian,Republican,0,,R_3GkxQMJZTbvtg86,1,9,1
Grew up upper class,40,None,firefighter,Two kids,Physically disabled,Asian,None specified,1,,R_3GkxQMJZTbvtg86,1,9,1
Grew up poor,40,None,firefighter,No kids,Generally Healthy,Black,Democrat,1,,R_2PnHHfVojNyhhp8,1,6,1
Grew up upper class,70,Prior history of violent crime,unemployed,No kids,Generally Healthy,Asian,None specified,0,,R_2PnHHfVojNyhhp8,1,6,1
Grew up poor,20,None,scientist,Two kids,Physically disabled,Hispanic,Democrat,1,,R_3QEGhE9XzAuCnFG,1,14,1
Grew up middle class,70,Prior history of violent crime,janitor,No kids,Mental health issues,Asian,None specified,0,,R_3QEGhE9XzAuCnFG,1,14,1
Grew up upper class,20,Prior history of violent crime,nurse,Two kids,Mental health issues,Black,None specified,0,,R_25GbedcP9gs7IFv,1,3,1
Grew up poor,20,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Asian,Democrat,1,,R_25GbedcP9gs7IFv,1,3,1
Grew up poor,40,Prior history of violent crime,doctor,Two kids,Mental health issues,Asian,Democrat,0,,R_2wLhs7E71otPJXo,1,1,1
Grew up poor,20,Prior history of non-violent crime,janitor,Two kids,Mental health issues,Hispanic,Republican,1,,R_2wLhs7E71otPJXo,1,1,1
Grew up upper class,40,None,scientist,Two kids,Generally Healthy,White,None specified,0,7,R_3oSLKNXefgPCVod,1,3,2
Grew up upper class,40,None,scientist,No kids,Diabetic,Asian,None specified,1,7,R_3oSLKNXefgPCVod,1,3,2
Grew up upper class,20,Prior history of violent crime,artist,Two kids,Mental health issues,Hispanic,None specified,0,4,R_1ClPH8biQoG4Vtn,1,10,2
Grew up middle class,40,Prior history of violent crime,unemployed,Two kids,Physically disabled,Black,Democrat,1,4,R_1ClPH8biQoG4Vtn,1,10,2
Grew up poor,70,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Asian,None specified,1,,R_qycKUu5Wv4vZXSF,1,8,1
Grew up upper class,40,None,janitor,No kids,Generally Healthy,Asian,Republican,0,,R_qycKUu5Wv4vZXSF,1,8,1
Grew up middle class,70,None,Instacart shopper,No kids,Mental health issues,Hispanic,Republican,1,3,R_2QxRuQTpDnUxoR8,1,7,2
Grew up upper class,40,Prior history of non-violent crime,artist,Two kids,Generally Healthy,Black,Republican,0,3,R_2QxRuQTpDnUxoR8,1,7,2
Grew up upper class,20,Prior history of violent crime,artist,No kids,Mental health issues,White,None specified,0,4,R_eP9d1G7SVDcGrC1,1,8,2
Grew up upper class,40,Prior history of violent crime,unemployed,No kids,Physically disabled,White,Republican,1,4,R_eP9d1G7SVDcGrC1,1,8,2
Grew up poor,20,Prior history of non-violent crime,janitor,No kids,Mental health issues,Hispanic,Democrat,0,,R_3m8h22kBVO64oTw,1,4,1
Grew up middle class,70,Prior history of non-violent crime,janitor,No kids,Diabetic,Asian,Republican,1,,R_3m8h22kBVO64oTw,1,4,1
Grew up middle class,70,None,scientist,Two kids,Mental health issues,White,Democrat,1,4,R_9ZHGq415N3B3pip,1,11,2
Grew up upper class,70,None,janitor,Two kids,Physically disabled,Black,None specified,0,4,R_9ZHGq415N3B3pip,1,11,2
Grew up upper class,70,Prior history of violent crime,doctor,No kids,Generally Healthy,Hispanic,None specified,0,,R_2BkDaht7gwGE66d,1,14,1
Grew up upper class,70,Prior history of violent crime,Instacart shopper,No kids,Generally Healthy,Hispanic,Republican,1,,R_2BkDaht7gwGE66d,1,14,1
Grew up upper class,70,Prior history of violent crime,nurse,Two kids,Mental health issues,Black,Republican,0,,R_1hEZIF26btaImTB,1,13,1
Grew up upper class,20,None,scientist,No kids,Generally Healthy,Hispanic,Democrat,1,,R_1hEZIF26btaImTB,1,13,1
Grew up upper class,40,None,scientist,No kids,Physically disabled,Hispanic,Democrat,0,,R_4OBepaslgA1cupX,1,8,1
Grew up poor,70,Prior history of violent crime,scientist,Two kids,Diabetic,Asian,None specified,1,,R_4OBepaslgA1cupX,1,8,1
Grew up poor,70,Prior history of violent crime,artist,No kids,Physically disabled,Black,None specified,0,6,R_2sZ2LNzDoqZI7Yl,1,11,2
Grew up poor,40,Prior history of non-violent crime,nurse,No kids,Physically disabled,Asian,Democrat,1,6,R_2sZ2LNzDoqZI7Yl,1,11,2
Grew up middle class,40,Prior history of violent crime,nurse,No kids,Physically disabled,Hispanic,None specified,0,,R_3IXixdlLwIlAwzC,1,8,1
Grew up upper class,40,Prior history of violent crime,nurse,Two kids,Mental health issues,Asian,None specified,1,,R_3IXixdlLwIlAwzC,1,8,1
Grew up middle class,40,Prior history of violent crime,nurse,No kids,Generally Healthy,White,None specified,0,,R_6ssbeKVxhcnZsdj,1,1,1
Grew up middle class,40,Prior history of non-violent crime,firefighter,No kids,Generally Healthy,Hispanic,Democrat,1,,R_6ssbeKVxhcnZsdj,1,1,1
Grew up upper class,20,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,White,None specified,1,6,R_0SQZGShACCzbPRT,1,1,2
Grew up upper class,40,None,banker,No kids,Physically disabled,Hispanic,None specified,0,6,R_0SQZGShACCzbPRT,1,1,2
Grew up poor,20,Prior history of non-violent crime,banker,Two kids,Generally Healthy,White,None specified,0,5,R_Qicmczrh8EBA8Yp,1,6,2
Grew up upper class,70,Prior history of violent crime,firefighter,Two kids,Physically disabled,Hispanic,Republican,1,5,R_Qicmczrh8EBA8Yp,1,6,2
Grew up middle class,70,Prior history of non-violent crime,Instacart shopper,No kids,Generally Healthy,Asian,Republican,0,,R_3oHioHj1jYIFGjE,1,7,1
Grew up middle class,20,Prior history of violent crime,artist,Two kids,Generally Healthy,White,Democrat,1,,R_3oHioHj1jYIFGjE,1,7,1
Grew up poor,40,None,doctor,No kids,Generally Healthy,White,Democrat,0,,R_3FKC3w2lc0SjbKj,1,10,1
Grew up middle class,70,Prior history of non-violent crime,artist,Two kids,Diabetic,Black,Democrat,1,,R_3FKC3w2lc0SjbKj,1,10,1
Grew up poor,20,None,firefighter,No kids,Physically disabled,White,Republican,1,,R_2v2ieCfd8WTWiVV,1,6,1
Grew up middle class,20,Prior history of violent crime,firefighter,Two kids,Mental health issues,Asian,None specified,0,,R_2v2ieCfd8WTWiVV,1,6,1
Grew up poor,20,None,unemployed,No kids,Mental health issues,Black,Republican,1,,R_1IKwouPXZ70BkQb,1,13,1
Grew up upper class,20,Prior history of non-violent crime,janitor,No kids,Generally Healthy,White,None specified,0,,R_1IKwouPXZ70BkQb,1,13,1
Grew up upper class,70,None,firefighter,No kids,Physically disabled,Asian,Republican,1,,R_2VdzP1XSs9qrsbX,1,16,1
Grew up poor,40,None,scientist,Two kids,Diabetic,White,None specified,0,,R_2VdzP1XSs9qrsbX,1,16,1
Grew up upper class,70,Prior history of non-violent crime,janitor,Two kids,Mental health issues,White,None specified,1,6,R_2ANmrPvmprHok8e,1,5,2
Grew up poor,20,Prior history of violent crime,doctor,No kids,Diabetic,Hispanic,None specified,0,6,R_2ANmrPvmprHok8e,1,5,2
