"duration","response_date","responseid","consent_1","consent_2","consent_3","failed_vpn_1","failed_vpn_2","failed_vpn_3","tutorial_slider_ck","tutorial_age_ck","tutorial_occ_ck","tutorial_resource_ck","attention_ck_midsurvey","importance_age","importance_race","importance_nchildren","importance_political","importance_criminal","importance_health","importance_occupation","importance_upbrinding","decision_style","decision_style_text","demog_age","demog_race","demog_race_text","demog_education","demog_work","demog_work_text","demog_political","demog_strong_dem","demog_strong_rep","demog_party_closeness","demog_liberal_conserv","demog_strong_lib","demog_strong_cons","demog_closer_lib","feedback","embeddedCode"
312,"2020-10-26 08:21:34","R_2Eubq3xO8wgvciL","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Very Important","Not at all important","Moderately Important","Moderately Important","Low importance","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",28,"Asian/Pacific Islanders","","Some college, but no degree","I work full time","","Independent","","","Closer to the Democratic Party","Moderate","","","Closer to liberals","",27.667604094061
359,"2020-10-26 08:23:28","R_1OrkcK8RJPKE1OM","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Moderately Important","Not at all important","Not at all important","Slightly important","Slightly important","Not at all important","I compared the two persons attribute by attribute","",36,"Caucasian/White (non-Hispanic),Latino or Hispanic","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","None.",35.6413490596789
427,"2020-10-26 08:23:35","R_O2J6OjuZc493Cmd","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Not at all important","Not at all important","Extremely Important","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",65,"Caucasian/White (non-Hispanic)","","High school graduate","I am retired","","Democrat","Not strong","","","Moderate","","","Closer to conservatives","",42.6526630459476
177,"2020-10-26 08:23:46","R_1mDUsteACzh52t0","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Moderately Important","Not at all important","Slightly important","Extremely Important","Slightly important","Not at all important","I used both (1) and (2)","",29,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",35.8867587856685
445,"2020-10-26 08:24:10","R_0TlJKhdA5c1UsF3","Yes","Yes","Yes",NA,NA,NA,76,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Not at all important","Neutral","Not at all important","Not at all important","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",33,"Caucasian/White (non-Hispanic)","","4-year college degree","I work part time","","Republican","","Strong","","Conservative","","Strong conservative","","none",50.9261957728132
609,"2020-10-26 08:28:05","R_ZaV9fhCTBQM47WF","Yes","Yes","Yes",NA,NA,NA,62,70,"Person B","a job","Mental or Physical Health Issues,Criminal History","Slightly important","Moderately Important","Extremely Important","Neutral","Neutral","Low importance","Very Important","Extremely Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",30,"Caucasian/White (non-Hispanic)","","Did not graduate from high school","I am unemployed","","Democrat","Strong","","","Moderate","","","Closer to liberals","",29.0299099709443
288,"2020-10-26 08:32:53","R_3j7iwFBcnQqSscX","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Moderately Important","Not at all important","Slightly important","Slightly important","Moderately Important","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",33,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Other Party","","","Neither","Moderate","","","Neither","",17.1301418121741
400,"2020-10-26 08:32:54","R_XLAt9xmEvJyaXU5","Yes","Yes","Yes",NA,NA,NA,75,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Slightly important","Not at all important","Extremely Important","Not at all important","Low importance","Low importance","Not at all important","Not at all important","I used both (1) and (2)","",47,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Independent","","","Closer to the Republican Party","Moderate","","","Neither","",21.961623573434
536,"2020-10-26 08:35:08","R_1F38RTja1gFRNxY","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Low importance","Slightly important","Slightly important","Moderately Important","Very Important","Neutral","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",44,"Asian/Pacific Islanders","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",47.0757142687393
376,"2020-10-26 08:37:34","R_1r0VzzKsuNhKVdc","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Criminal History","Moderately Important","Low importance","Low importance","Slightly important","Very Important","Slightly important","Moderately Important","Neutral","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",29,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","great survey",15.3282966095322
